Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,Battery voltage
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%03.02f,%02.1f,%02.2f,%02.2f,%04d,%02.1f
W M,2023,05,12,23,44,31,54409,49561,676.63,45.00,8.60,21.70,0996,11.5
W M,2023,05,12,23,54,35,54409,49526,682.78,45.00,8.60,21.70,0997,11.5
W M,2023,05,13,00,04,40,54409,49521,683.56,45.00,8.60,21.70,0997,11.5
W M,2023,05,13,00,14,45,54409,49513,685.11,45.00,8.60,21.70,0997,11.5
W M,2023,05,13,00,24,50,54409,49502,687.04,45.00,8.60,21.70,0997,11.4
W M,2023,05,13,00,34,55,54409,49534,680.20,45.00,8.60,21.60,0998,11.4
W M,2023,05,13,00,44,59,54409,49532,680.42,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,00,55,04,54409,49512,684.52,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,01,05,09,54409,49496,687.61,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,01,15,14,54409,49511,685.00,45.00,8.60,21.60,0998,11.6
W M,2023,05,13,01,25,18,54409,49527,681.34,45.00,8.60,21.60,0998,11.6
W M,2023,05,13,01,35,23,54409,49520,682.62,45.00,8.60,21.60,0998,11.4
W M,2023,05,13,01,45,28,54409,49521,682.44,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,01,55,33,54409,49519,682.79,45.00,8.60,21.50,0998,11.4
W M,2023,05,13,02,05,38,54409,49518,683.38,45.00,8.60,21.50,0998,11.6
W M,2023,05,13,02,15,43,54409,49500,687.09,45.00,8.60,21.50,0998,11.5
W M,2023,05,13,02,25,47,54409,49499,687.04,45.00,8.60,21.50,0998,11.6
W M,2023,05,13,02,35,52,54409,49533,680.74,45.00,8.60,21.50,0998,11.4
W M,2023,05,13,02,45,57,54409,49541,678.98,45.00,8.60,21.50,0998,11.5
W M,2023,05,13,02,56,02,54409,49544,678.41,45.00,8.60,21.50,0998,11.5
W M,2023,05,13,03,06,07,54409,49520,682.34,45.00,8.60,21.50,0999,11.6
W M,2023,05,13,03,16,11,54409,49484,688.74,45.00,8.60,21.50,0999,11.5
W M,2023,05,13,03,26,16,54409,49488,688.00,45.00,8.60,21.50,0999,11.5
