HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:37:22;991.15;990.48;10887;872;0;7000;14080;13.763;21.81;18.499;49.571;
2023-07-13;17:37:23;991.03;990.48;10887;872;0;7000;14080;13.763;21.805;18.499;49.758;
2023-07-13;17:37:24;991.51;990.49;10887;872;0;7000;14360;14.037;21.817;18.519;49.886;
2023-07-13;17:37:25;991.58;990.55;10887;872;0;7000;14360;14.038;21.833;18.489;50.007;
2023-07-13;17:37:26;991.09;990.55;10887;872;0;7000;14360;14.038;21.845;18.499;50.134;
2023-07-13;17:37:27;990.92;990.42;10887;872;0;7000;14360;14.036;21.83;18.499;50.134;
2023-07-13;17:37:28;991.33;990.45;10887;872;0;7000;14360;14.036;21.876;18.499;50.258;
2023-07-13;17:37:29;991.57;990.48;10887;872;0;7000;14480;14.154;21.841;18.499;50.321;
2023-07-13;17:37:30;991.15;990.48;10887;872;0;7000;14290;13.968;21.881;18.499;50.477;
2023-07-13;17:37:31;991.28;990.75;10887;872;0;7000;14360;14.041;21.888;18.48;50.599;
2023-07-13;17:37:32;991.94;990.97;10887;872;0;7000;14410;14.093;21.893;18.499;50.695;
2023-07-13;17:37:33;992.06;991.11;10887;872;0;7000;14410;14.095;21.902;18.499;50.695;
2023-07-13;17:37:34;992.18;991.21;10887;872;0;7000;14540;14.223;21.911;18.509;50.821;
2023-07-13;17:37:35;991.51;991.01;10887;872;0;7000;14519;14.2;21.912;18.499;50.945;
2023-07-13;17:37:36;991.31;990.84;10887;872;0;7000;14650;14.325;21.921;18.499;51.069;
2023-07-13;17:37:37;991.85;990.8;10887;872;0;7000;14620;14.296;21.937;18.499;51.194;
2023-07-13;17:37:38;992.03;990.95;10887;872;0;7000;14610;14.288;21.924;18.499;51.318;
2023-07-13;17:37:39;991.37;990.84;10887;872;0;7000;14620;14.296;21.951;18.499;51.318;
2023-07-13;17:37:40;991.35;990.97;10887;872;0;7000;14730;14.406;21.963;18.489;51.41;
2023-07-13;17:37:41;991.95;990.97;10887;872;0;7000;14870;14.543;21.979;18.499;51.505;
2023-07-13;17:37:42;991.87;990.86;10887;872;0;7000;14570;14.248;21.977;18.499;51.598;
2023-07-13;17:37:43;991.36;990.92;10887;872;0;7000;14759;14.433;21.985;18.499;51.691;
